DENOM_CIA,SETOR_ATIV,ANO_ARQUIVO,VL_CONTA,VL_CONTA_REAIS,VL_CONTA_BI
COSAN S.A.,"Agricultura (Açúcar, Álcool e Cana)",2021,14519180.0,14519180000.0,14.51918
SLC AGRICOLA S.A.,"Agricultura (Açúcar, Álcool e Cana)",2021,1641707.0,1641707000.0,1.641707
SAO MARTINHO S.A.,"Agricultura (Açúcar, Álcool e Cana)",2021,1566134.0,1566134000.0,1.566134
RAIZEN ENERGIA S.A.,"Agricultura (Açúcar, Álcool e Cana)",2021,867927.0,867927000.0,0.867927
BRASILAGRO - CIA BRAS DE PROP AGRICOLAS,"Agricultura (Açúcar, Álcool e Cana)",2021,437200.0,437200000.0,0.4372
CERRADINHO BIOENERGIA S.A.,"Agricultura (Açúcar, Álcool e Cana)",2021,373326.0,373326000.0,0.373326
JALLES MACHADO S.A.,"Agricultura (Açúcar, Álcool e Cana)",2021,246973.0,246973000.0,0.246973
VITTIA S.A.,"Agricultura (Açúcar, Álcool e Cana)",2021,193673.0,193673000.0,0.193673
CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.,"Agricultura (Açúcar, Álcool e Cana)",2021,127789.0,127789000.0,0.127789
TERRA SANTA PROPRIEDADES AGRÍCOLAS S.A.,"Agricultura (Açúcar, Álcool e Cana)",2021,74737.0,74737000.0,0.074737
NUTRIPLANT INDUSTRIA E COMERCIO S.A.,"Agricultura (Açúcar, Álcool e Cana)",2021,10124.0,10124000.0,0.010124
POMIFRUTAS S/A EM RECUPERACAO JUDICIAL,"Agricultura (Açúcar, Álcool e Cana)",2021,2447.0,2447000.0,0.002447
BIOSEV S.A.,"Agricultura (Açúcar, Álcool e Cana)",2021,-1388206.0,-1388206000.0,-1.388206
JBS S.A.,Alimentos,2021,25184602.0,25184602000.0,25.184602
MARFRIG GLOBAL FOODS S.A.,Alimentos,2021,11177231.0,11177231000.0,11.177231
MINERVA S.A.,Alimentos,2021,1295971.0,1295971000.0,1.295971
M.DIAS BRANCO S.A. IND COM DE ALIMENTOS,Alimentos,2021,1268830.0,1268830000.0,1.26883
CAMIL ALIMENTOS S.A.,Alimentos,2021,702304.0,702304000.0,0.702304
CARAMURU ALIMENTOS S.A.,Alimentos,2021,575710.0,575710000.0,0.57571
J. MACEDO S.A.,Alimentos,2021,236764.0,236764000.0,0.236764
CONSERVAS ODERICH S.A.,Alimentos,2021,96095.0,96095000.0,0.096095
BLUE TECH SOLUTIONS EQI S.A.,Alimentos,2021,-11142.0,-11142000.0,-0.011142
MADERO INDÚSTRIA E COMÉRCIO S.A.,Alimentos,2021,-370031.0,-370031000.0,-0.370031
INTERNATIONAL MEAL COMPANY ALIMENTACAO S.A.,Alimentos,2021,-554027.0,-554027000.0,-0.554027
ZAMP SA,Alimentos,2021,-719448.0,-719448000.0,-0.719448
BCO BRADESCO S.A.,Bancos,2021,39414765.0,39414765000.0,39.414765
BCO BRASIL S.A.,Bancos,2021,33015754.0,33015754000.0,33.015754
BCO SANTANDER (BRASIL) S.A.,Bancos,2021,29010076.0,29010076000.0,29.010076
BCO DAYCOVAL S.A.,Bancos,2021,2574727.0,2574727000.0,2.574727
BCO ESTADO DO RIO GRANDE DO SUL S.A.,Bancos,2021,1704329.0,1704329000.0,1.704329
BCO ABC BRASIL S.A.,Bancos,2021,904273.0,904273000.0,0.904273
BANESTES S.A. - BCO EST ESPIRITO SANTO,Bancos,2021,452178.0,452178000.0,0.452178
BANCO RCI BRASIL S.A.,Bancos,2021,313167.0,313167000.0,0.313167
BCO ALFA DE INVESTIMENTO S.A.,Bancos,2021,0.0,0.0,0.0
FINANCEIRA ALFA S.A.- CRED FINANC E INVS,Bancos,2021,0.0,0.0,0.0
BRB BANCO DE BRASILIA S.A.,Bancos,2021,-58411.0,-58411000.0,-0.058411
AMBEV S.A.,Bebidas e Fumo,2021,49708982.0,49708982000.0,49.708982
SOLAR BEBIDAS S.A.,Bebidas e Fumo,2021,986232.0,986232000.0,0.986232
"B3 S.A. - BRASIL, BOLSA, BALCÃO",Bolsas de Valores/Mercadorias e Futuros,2021,17735608.0,17735608000.0,17.735608
MANUFATURA DE BRINQUEDOS ESTRELA S.A.,Brinquedos e Lazer,2021,-20011.0,-20011000.0,-0.020011
BLUEFIT ACADEMIAS DE GINÁSTICA E PARTICIPAÇÕES S.A.,Brinquedos e Lazer,2021,-66062.0,-66062000.0,-0.066062
CINESYSTEM S.A.,Brinquedos e Lazer,2021,-72578.0,-72578000.0,-0.072578
T4F ENTRETENIMENTO S.A.,Brinquedos e Lazer,2021,-173968.0,-173968000.0,-0.173968
SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,Brinquedos e Lazer,2021,-2474890.0,-2474890000.0,-2.47489
GRUPO MULTI S.A.,Comunicação e Informática,2021,1219017.0,1219017000.0,1.219017
TOTVS S.A.,Comunicação e Informática,2021,668996.0,668996000.0,0.668996
POSITIVO TECNOLOGIA S.A.,Comunicação e Informática,2021,398738.0,398738000.0,0.398738
BOA VISTA SERVIÇOS S.A.,Comunicação e Informática,2021,196568.0,196568000.0,0.196568
SENIOR SISTEMAS S.A.,Comunicação e Informática,2021,191437.0,191437000.0,0.191437
BRQ SOLUCOES EM INFORMATICA S.A.,Comunicação e Informática,2021,169660.0,169660000.0,0.16966
BEMOBI MOBILE TECH S.A.,Comunicação e Informática,2021,111079.0,111079000.0,0.111079
SINQIA S.A.,Comunicação e Informática,2021,54970.0,54970000.0,0.05497
DATORA PARTICIPAÇÕES E SERVIÇOS S.A.,Comunicação e Informática,2021,52631.0,52631000.0,0.052631
LG INFORMÁTICA S.A.,Comunicação e Informática,2021,29455.0,29455000.0,0.029455
NEOGRID PARTICIPAÇÕES S.A.,Comunicação e Informática,2021,26939.0,26939000.0,0.026939
TC S.A.,Comunicação e Informática,2021,14356.0,14356000.0,0.014356
LWSA S/A,Comunicação e Informática,2021,3991.0,3991000.0,0.003991
CLARANET TECHNOLOGY S.A.,Comunicação e Informática,2021,2536.0,2536000.0,0.002536
MÉLIUZ S.A.,Comunicação e Informática,2021,-14704.0,-14704000.0,-0.014704
BIONEXO S.A.,Comunicação e Informática,2021,-54303.0,-54303000.0,-0.054303
CLEAR SALE S.A.,Comunicação e Informática,2021,-55800.0,-55800000.0,-0.0558
FLEX GESTÃO DE RELACIONAMENTOS S.A.-EM RECUPERAÇÃO JUDICIAL,Comunicação e Informática,2021,-68420.0,-68420000.0,-0.06842
VALID SOLUÇÕES S.A.,Comunicação e Informática,2021,-143732.0,-143732000.0,-0.143732
DOTZ S.A.,Comunicação e Informática,2021,-146489.0,-146489000.0,-0.146489
VIVARA PARTICIPAÇÕES S.A.,Comércio (Atacado e Varejo),2021,445162380.0,445162380000.0,445.16238
VIBRA ENERGIA S/A,Comércio (Atacado e Varejo),2021,12804000.0,12804000000.0,12.804
CIA BRASILEIRA DE DISTRIBUICAO,Comércio (Atacado e Varejo),2021,6572000.0,6572000000.0,6.572
LOJAS RENNER S.A.,Comércio (Atacado e Varejo),2021,3458762.0,3458762000.0,3.458762
RAÍZEN S.A.,Comércio (Atacado e Varejo),2021,3140228.0,3140228000.0,3.140228
RAIA DROGASIL S.A.,Comércio (Atacado e Varejo),2021,2519332.0,2519332000.0,2.519332
GRUPO CASAS BAHIA S.A.,Comércio (Atacado e Varejo),2021,1414000.0,1414000000.0,1.414
MAGAZINE LUIZA S.A.,Comércio (Atacado e Varejo),2021,982370.0,982370000.0,0.98237
ALLIED TECNOLOGIA S.A.,Comércio (Atacado e Varejo),2021,911752.0,911752000.0,0.911752
INTELBRAS S.A. IND. DE TELECOMUNICAÇÃO ELETRÔNICA BRASILEIRA,Comércio (Atacado e Varejo),2021,691465.0,691465000.0,0.691465
AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL,Comércio (Atacado e Varejo),2021,666074.0,666074000.0,0.666074
IGUATEMI EMPRESA DE SHOPPING CENTERS S.A,Comércio (Atacado e Varejo),2021,546407.0,546407000.0,0.546407
CM HOSPITALAR S.A,Comércio (Atacado e Varejo),2021,516921.0,516921000.0,0.516921
GRUPO SBF S.A.,Comércio (Atacado e Varejo),2021,365906.0,365906000.0,0.365906
LUPO S.A.,Comércio (Atacado e Varejo),2021,280307.0,280307000.0,0.280307
LOJAS QUERO QUERO S.A.,Comércio (Atacado e Varejo),2021,272186.0,272186000.0,0.272186
