DENOM_CIA,ANO_ARQUIVO,VL_CONTA
AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL,2021,15910976.0
AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL,2022,-26666621.0
AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL,2023,-28850000.0
AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL,2024,4970000.0
AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL,2025,4759000.0
AMMO VAREJO S.A.,2021,59966.0
AMMO VAREJO S.A.,2022,170150.0
AMMO VAREJO S.A.,2023,13724.0
AMMO VAREJO S.A.,2024,-62488.0
ANEMUS WIND HOLDING S.A.,2021,250643.0
ANEMUS WIND HOLDING S.A.,2022,230030.0
ANEMUS WIND HOLDING S.A.,2023,384301.0
ANEMUS WIND HOLDING S.A.,2024,227505.0
ANIMA HOLDING S.A.,2021,2412361.0
ANIMA HOLDING S.A.,2022,3201468.0
ANIMA HOLDING S.A.,2023,2857343.0
ANIMA HOLDING S.A.,2024,2780234.0
ANIMA HOLDING S.A.,2025,2833656.0
ARANDU INVESTIMENTOS S.A.,2022,278757.0
ARANDU INVESTIMENTOS S.A.,2023,280335.0
ARANDU INVESTIMENTOS S.A.,2024,307487.0
ARANDU INVESTIMENTOS S.A.,2025,133113.0
ARGO ENERGIA EMPREENDIMENTOS E PARTICIPAÇÕES S/A,2021,2137991.0
ARGO ENERGIA EMPREENDIMENTOS E PARTICIPAÇÕES S/A,2022,4783166.0
ARGO ENERGIA EMPREENDIMENTOS E PARTICIPAÇÕES S/A,2023,5376323.0
ARGO ENERGIA EMPREENDIMENTOS E PARTICIPAÇÕES S/A,2024,5537083.0
ARGO ENERGIA EMPREENDIMENTOS E PARTICIPAÇÕES S/A,2025,3739672.0
"ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.",2021,1112697.0
"ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.",2022,1158521.0
"ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.",2024,1311017.0
"ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.",2025,1330338.0
ARTERIS S.A.,2021,6464386.0
ARTERIS S.A.,2022,4843908.0
ARTERIS S.A.,2023,4401735.0
ARTERIS S.A.,2024,3560342.0
ARTERIS S.A.,2025,3776094.0
ASA BRANCA HOLDING S.A.,2021,103718.0
ASA BRANCA HOLDING S.A.,2022,101757.0
ASA BRANCA HOLDING S.A.,2023,35838.0
ASA BRANCA HOLDING S.A.,2024,-2452.0
ASA BRANCA HOLDING S.A.,2025,-22748.0
ASSURUÁ 4 E 5 HOLDING ENERGIA S.A.,2024,920764.0
ASSURUÁ 4 E 5 HOLDING ENERGIA S.A.,2025,910350.0
ATACADÃO S.A.,2021,18396000.0
ATACADÃO S.A.,2022,21772000.0
ATACADÃO S.A.,2023,20827000.0
ATACADÃO S.A.,2024,22614000.0
ATHENA SAÚDE BRASIL SA,2021,1762950.0
ATHENA SAÚDE BRASIL SA,2022,1742204.0
ATOM EDUCAÇÃO E EDITORA S.A.,2024,24147.0
ATOM EDUCAÇÃO E EDITORA S.A.,2025,20208.0
AURA ALMAS MINERAÇÃO S.A.,2021,229702.0
AURA ALMAS MINERAÇÃO S.A.,2022,234699.0
AURA ALMAS MINERAÇÃO S.A.,2023,198390.0
AURA ALMAS MINERAÇÃO S.A.,2024,375759.0
AURA ALMAS MINERAÇÃO S.A.,2025,371197.0
AURA MINERALS INC.,2021,1519428.0
AURA MINERALS INC.,2022,1618151.0
AURA MINERALS INC.,2023,1524051.0
AURA MINERALS INC.,2024,1380604.0
AURA MINERALS INC.,2025,1462194.0
AUREN ENERGIA S.A.,2021,9046515.0
AUREN ENERGIA S.A.,2022,15253078.0
AUREN ENERGIA S.A.,2023,12368953.0
AUREN ENERGIA S.A.,2024,14483354.0
AUREN ENERGIA S.A.,2025,13775463.0
AUREN OPERAÇÕES S.A.,2021,4613565.0
AUREN OPERAÇÕES S.A.,2022,3887649.0
AUREN OPERAÇÕES S.A.,2023,3934847.0
AUREN OPERAÇÕES S.A.,2024,3659890.0
AUREN OPERAÇÕES S.A.,2025,4697786.0
AUREN PARTICIPAÇÕES S.A.,2021,4034236.0
AUREN PARTICIPAÇÕES S.A.,2022,5573795.0
AUREN PARTICIPAÇÕES S.A.,2023,5579423.0
AUREN PARTICIPAÇÕES S.A.,2024,6321027.0
AUREN PARTICIPAÇÕES S.A.,2025,5284857.0
AUSTRAVIAS S.A.,2022,506381.0
AUSTRAVIAS S.A.,2023,498419.0
AUSTRAVIAS S.A.,2024,146687.0
AUSTRAVIAS S.A.,2025,830578.0
AUTOMOB PARTICIPAÇÕES S.A.,2023,3187458.0
AUTOMOB PARTICIPAÇÕES S.A.,2024,2302582.0
AUTOMOB PARTICIPAÇÕES S.A.,2025,2018964.0
AUTOMOB S.A.,2022,1009020.0
AUTOMOB S.A.,2023,1044112.0
AXIA ENERGIA NORDESTE S.A.,2024,34615192.0
AXIA ENERGIA NORDESTE S.A.,2025,33655080.0
AXIA ENERGIA NORTE S.A.,2023,60141282.0
AXIA ENERGIA NORTE S.A.,2024,31672653.0
AXIA ENERGIA NORTE S.A.,2025,32677354.0
AXIA ENERGIA S.A.,2022,111028636.0
AXIA ENERGIA S.A.,2023,112464644.0
AXIA ENERGIA S.A.,2024,121999776.0
AXIA ENERGIA S.A.,2025,118501657.0
AXIA ENERGIA SUL S.A.,2023,16163302.0
AXIA ENERGIA SUL S.A.,2024,8805726.0
AXIA ENERGIA SUL S.A.,2025,9376379.0
AZEVEDO & TRAVASSOS ENERGIA S.A.,2024,154638.0
AZEVEDO & TRAVASSOS ENERGIA S.A.,2025,248016.0
AZEVEDO E TRAVASSOS S.A.,2021,106971.0
AZEVEDO E TRAVASSOS S.A.,2022,97000.0
AZEVEDO E TRAVASSOS S.A.,2023,317120.0
AZEVEDO E TRAVASSOS S.A.,2024,136381.0
AZEVEDO E TRAVASSOS S.A.,2025,111704.0
AZUL S.A.,2021,-18333003.0
AZUL S.A.,2022,-19007500.0
AZUL S.A.,2023,-21327848.0
AZUL S.A.,2024,-30435270.0
AZUL S.A.,2025,-29038062.0
AZZAS 2154 S.A.,2021,1592006.0
AZZAS 2154 S.A.,2022,2654593.0
AZZAS 2154 S.A.,2023,2929099.0
AZZAS 2154 S.A.,2024,7721515.0
AZZAS 2154 S.A.,2025,7977304.0
B100 S.A.,2025,-746.0
"B3 S.A. - BRASIL, BOLSA, BALCÃO",2021,22419370.0
"B3 S.A. - BRASIL, BOLSA, BALCÃO",2022,20283143.0
"B3 S.A. - BRASIL, BOLSA, BALCÃO",2023,20286099.0
"B3 S.A. - BRASIL, BOLSA, BALCÃO",2024,18383454.0
"B3 S.A. - BRASIL, BOLSA, BALCÃO",2025,17464079.0
BANCO BMG S/A,2021,3823900.0
BANCO BMG S/A,2022,4130867.0
BANCO BMG S/A,2023,4180259.0
BANCO BMG S/A,2024,4406593.0
BANCO BMG S/A,2025,4642319.0
BANCO DO ESTADO DO RIO GRANDE DO SUL SA,2022,9520306.0
BANCO DO ESTADO DO RIO GRANDE DO SUL SA,2023,9865773.0
BANCO DO ESTADO DO RIO GRANDE DO SUL SA,2024,10418753.0
BANCO DO ESTADO DO RIO GRANDE DO SUL SA,2025,11465151.0
BANCO INTER S.A.,2021,8462483.0
BANCO INTER S.A.,2022,8357164.0
BANCO MODAL S.A.,2021,1273612.0
BANCO MODAL S.A.,2022,1288219.0
BANCO NACIONAL S.A.,2024,6800894.0
BANCO RCI BRASIL S.A.,2021,1449497.0
BANCO RCI BRASIL S.A.,2022,1323452.0
BANCO RCI BRASIL S.A.,2023,1215867.0
BANCO RCI BRASIL S.A.,2024,1493668.0
BANCO RCI BRASIL S.A.,2025,1216629.0
BANESTES S.A. - BCO EST ESPIRITO SANTO,2021,1833483.0
BANESTES S.A. - BCO EST ESPIRITO SANTO,2022,1992179.0
BANESTES S.A. - BCO EST ESPIRITO SANTO,2023,2120818.0
BANESTES S.A. - BCO EST ESPIRITO SANTO,2024,2313548.0
BANESTES S.A. - BCO EST ESPIRITO SANTO,2025,2423231.0
BARDELLA S.A. INDUSTRIAS MECANICAS EM RECUPERAÇÃO JUDICIAL,2021,-176405.0
BARDELLA S.A. INDUSTRIAS MECANICAS EM RECUPERAÇÃO JUDICIAL,2022,-110715.0
BARDELLA S.A. INDUSTRIAS MECANICAS EM RECUPERAÇÃO JUDICIAL,2023,-193155.0
BARDELLA S.A. INDUSTRIAS MECANICAS EM RECUPERAÇÃO JUDICIAL,2024,-223937.0
BARDELLA S.A. INDUSTRIAS MECANICAS EM RECUPERAÇÃO JUDICIAL,2025,-244690.0
BAUMER S.A.,2021,131723.0
BAUMER S.A.,2022,134590.0
BAUMER S.A.,2023,145599.0
BAUMER S.A.,2024,174544.0
BAUMER S.A.,2025,143988.0
BB SEGURIDADE PARTICIPAÇÕES S.A.,2021,7281416.0
BB SEGURIDADE PARTICIPAÇÕES S.A.,2022,7596101.0
BB SEGURIDADE PARTICIPAÇÕES S.A.,2023,9816482.0
BB SEGURIDADE PARTICIPAÇÕES S.A.,2024,9695421.0
BB SEGURIDADE PARTICIPAÇÕES S.A.,2025,10384393.0
BBM LOGÍSTICA S.A.,2021,136704.0
BBM LOGÍSTICA S.A.,2022,68461.0
BBM LOGÍSTICA S.A.,2023,14634.0
BBM LOGÍSTICA S.A.,2024,-360413.0
BBM LOGÍSTICA S.A.,2025,-645923.0
BCBF PARTICIPAÇÕES S.A.,2021,6979942.0
BCBF PARTICIPAÇÕES S.A.,2022,7789280.0
BCO ABC BRASIL S.A.,2021,4713676.0
BCO ABC BRASIL S.A.,2022,5236507.0
BCO ABC BRASIL S.A.,2023,5889901.0
BCO ALFA DE INVESTIMENTO S.A.,2021,1598115.0
BCO ALFA DE INVESTIMENTO S.A.,2022,1696682.0
BCO ALFA DE INVESTIMENTO S.A.,2023,1711530.0
BCO BRADESCO S.A.,2021,150228707.0
BCO BRADESCO S.A.,2022,158741264.0
BCO BRADESCO S.A.,2023,167014124.0
BCO BRADESCO S.A.,2024,168942492.0
BCO BRADESCO S.A.,2025,178948630.0
BCO BRASIL S.A.,2021,146110233.0
BCO BRASIL S.A.,2022,163077123.0
BCO BRASIL S.A.,2023,173570326.0
BCO BRASIL S.A.,2024,184236344.0
BCO BRASIL S.A.,2025,193567416.0
BCO BTG PACTUAL S.A.,2021,44642247.0
BCO BTG PACTUAL S.A.,2022,49567082.0
BCO BTG PACTUAL S.A.,2023,56388167.0
BCO BTG PACTUAL S.A.,2024,65871805.0
BCO BTG PACTUAL S.A.,2025,80293552.0
BCO DAYCOVAL S.A.,2021,5105779.0
BCO DAYCOVAL S.A.,2022,5845838.0
BCO DAYCOVAL S.A.,2023,6250344.0
BCO DAYCOVAL S.A.,2024,7192010.0
BCO DAYCOVAL S.A.,2025,7202855.0
BCO ESTADO DO RIO GRANDE DO SUL S.A.,2021,9088598.0
BCO MERCANTIL DO BRASIL S.A.,2021,1215237.0
BCO MERCANTIL DO BRASIL S.A.,2022,1362545.0
BCO MERCANTIL DO BRASIL S.A.,2023,1612149.0
BCO MERCANTIL DO BRASIL S.A.,2024,1894589.0
BCO MERCANTIL DO BRASIL S.A.,2025,2332793.0
BCO PAN S.A.,2021,5973850.0
BCO PAN S.A.,2022,7124093.0
BCO PAN S.A.,2023,7421676.0
BCO PAN S.A.,2024,7496366.0
BCO PINE S.A,2021,803254.0
BCO PINE S.A,2022,869606.0
BCO PINE S.A,2023,981899.0
BCO PINE S.A,2024,1071917.0
BCO PINE S.A,2025,1436601.0
BCO SANTANDER (BRASIL) S.A.,2021,105974495.0
BCO SANTANDER (BRASIL) S.A.,2022,110680176.0
BCO SANTANDER (BRASIL) S.A.,2023,114856354.0
BCO SANTANDER (BRASIL) S.A.,2024,119827132.0
BCO SANTANDER (BRASIL) S.A.,2025,126553144.0
BEMOBI MOBILE TECH S.A.,2021,1029723.0
BEMOBI MOBILE TECH S.A.,2022,1058526.0
BEMOBI MOBILE TECH S.A.,2023,1086342.0
BEMOBI MOBILE TECH S.A.,2024,1170039.0
BEMOBI MOBILE TECH S.A.,2025,973357.0
BIOMA EDUCAÇÃO S.A.,2021,149721.0
BIOMA EDUCAÇÃO S.A.,2022,87050.0
BIOMA EDUCAÇÃO S.A.,2023,122640.0
BIOMA EDUCAÇÃO S.A.,2024,123867.0
BIOMA EDUCAÇÃO S.A.,2025,55219.0
BIOMM S.A.,2021,111586.0
BIOMM S.A.,2022,159109.0
BIOMM S.A.,2023,122940.0
BIOMM S.A.,2024,262784.0
BIOMM S.A.,2025,313508.0
BIONEXO S.A.,2021,241413.0
BIONEXO S.A.,2022,197327.0
BIONEXO S.A.,2023,263976.0
BIONEXO S.A.,2024,260521.0
BIONEXO S.A.,2025,251722.0
BIOSEV S.A.,2021,-847034.0
BLAU FARMACÊUTICA S.A.,2021,1634885.0
BLAU FARMACÊUTICA S.A.,2022,1817934.0
BLAU FARMACÊUTICA S.A.,2023,1995249.0
BLAU FARMACÊUTICA S.A.,2024,2150664.0
BLAU FARMACÊUTICA S.A.,2025,2255742.0
BLUE TECH SOLUTIONS EQI S.A.,2021,56569.0
BLUEFIT ACADEMIAS DE GINÁSTICA E PARTICIPAÇÕES S.A.,2021,38370.0
BLUEFIT ACADEMIAS DE GINÁSTICA E PARTICIPAÇÕES S.A.,2022,86121.0
BLUEFIT ACADEMIAS DE GINÁSTICA E PARTICIPAÇÕES S.A.,2023,269203.0
BLUEFIT ACADEMIAS DE GINÁSTICA E PARTICIPAÇÕES S.A.,2024,455226.0
BLUEFIT ACADEMIAS DE GINÁSTICA E PARTICIPAÇÕES S.A.,2025,541410.0
BOA SAFRA SEMENTES S.A.,2022,957122.0
BOA SAFRA SEMENTES S.A.,2023,1472507.0
BOA SAFRA SEMENTES S.A.,2024,1954270.0
BOA SAFRA SEMENTES S.A.,2025,1967730.0
BOA VISTA SERVIÇOS S.A.,2021,2045267.0
BOA VISTA SERVIÇOS S.A.,2022,2199224.0
BOMBRIL S.A. - EM RECUPERAÇÃO JUDICIAL,2021,-178255.0
BOMBRIL S.A. - EM RECUPERAÇÃO JUDICIAL,2022,-155672.0
BOMBRIL S.A. - EM RECUPERAÇÃO JUDICIAL,2023,-55506.0
BOMBRIL S.A. - EM RECUPERAÇÃO JUDICIAL,2024,-1607723.0
BOMBRIL S.A. - EM RECUPERAÇÃO JUDICIAL,2025,-1539713.0
BORRACHAS VIPAL S.A.,2021,516856.0
BORRACHAS VIPAL S.A.,2022,439735.0
BORRACHAS VIPAL S.A.,2023,658478.0
BORRACHAS VIPAL S.A.,2024,915149.0
BORRACHAS VIPAL S.A.,2025,981332.0
BR MALLS PARTICIPACOES S.A.,2021,11239247.0
BR MALLS PARTICIPACOES S.A.,2022,11265549.0
BR MALLS PARTICIPACOES S.A.,2023,13132195.0
BR MALLS PARTICIPACOES S.A.,2024,12331330.0
BR MALLS PARTICIPACOES S.A.,2025,12418515.0
BR PROPERTIES S.A.,2021,7101699.0
BR PROPERTIES S.A.,2022,4416023.0
BRADESPAR S.A.,2021,7502810.0
BRADESPAR S.A.,2022,7477001.0
BRADESPAR S.A.,2023,7834019.0
BRADSAÚDE S.A.,2022,1185518.0
BRADSAÚDE S.A.,2023,2775348.0
BRADSAÚDE S.A.,2024,1228233.0
BRADSAÚDE S.A.,2025,1282244.0
BRASIL BIOFUELS S.A.,2023,1405316.0
BRASIL BIOFUELS S.A.,2024,957074.0
BRASIL TECNOLOGIA E PARTICIPAÇÕES S.A.,2023,987030.0
BRASIL TECNOLOGIA E PARTICIPAÇÕES S.A.,2024,484964.0
BRASIL TECNOLOGIA E PARTICIPAÇÕES S.A.,2025,938557.0
BRASILAGRO - CIA BRAS DE PROP AGRICOLAS,2021,2182601.0
BRASILAGRO - CIA BRAS DE PROP AGRICOLAS,2022,2216048.0
BRASILAGRO - CIA BRAS DE PROP AGRICOLAS,2023,2197142.0
BRASILAGRO - CIA BRAS DE PROP AGRICOLAS,2024,2179679.0
BRASILAGRO - CIA BRAS DE PROP AGRICOLAS,2025,2177728.0
BRASILIANA PARTICIPAÇÕES S/A,2021,-34365.0
BRASILIANA PARTICIPAÇÕES S/A,2022,-55889.0
BRASILIANA PARTICIPAÇÕES S/A,2023,-53404.0
BRASKEM S.A.,2021,6203828.0
BRASKEM S.A.,2022,6108217.0
BRASKEM S.A.,2023,3279000.0
BRASKEM S.A.,2024,-4278000.0
BRASKEM S.A.,2025,-16502000.0
BRAVA ENERGIA S.A.,2021,4175445.0
BRAVA ENERGIA S.A.,2022,4341275.0
BRAVA ENERGIA S.A.,2023,5565090.0
BRAVA ENERGIA S.A.,2024,10523671.0
BRAVA ENERGIA S.A.,2025,11774188.0
"BRAZIL TOWER, CESSÃO DE INFRA-ESTRUTURAS S.A",2024,45484.0
"BRAZIL TOWER, CESSÃO DE INFRA-ESTRUTURAS S.A",2025,141638.0
BRAZILIAN FINANCE E REAL ESTATE S.A.,2021,0.0
BRAZILIAN FINANCE E REAL ESTATE S.A.,2022,207149.0
BRAZILIAN FINANCE E REAL ESTATE S.A.,2023,220249.0
BRB BANCO DE BRASILIA S.A.,2021,2489668.0
BRB BANCO DE BRASILIA S.A.,2022,2270650.0
BRB BANCO DE BRASILIA S.A.,2023,2312281.0
BRB BANCO DE BRASILIA S.A.,2024,3535542.0
BRBI BR PARTNERS S.A,2021,767206.0
BRBI BR PARTNERS S.A,2022,804217.0
BRBI BR PARTNERS S.A,2023,820817.0
BRBI BR PARTNERS S.A,2024,804590.0
BRBI BR PARTNERS S.A,2025,783298.0
BRF S.A.,2021,8825623.0
BRF S.A.,2022,11822869.0
BRF S.A.,2023,15643656.0
BRF S.A.,2024,16499204.0
BRF S.A.,2025,15030148.0
BRISANET PARTICIPAÇÕES S.A.,2021,1342099.0
BRISANET PARTICIPAÇÕES S.A.,2022,1378627.0
BRISANET PARTICIPAÇÕES S.A.,2023,1508058.0
BRISANET SERVIÇOS DE TELECOMUNICAÇÕES S.A.,2023,3079256.0
BRISANET SERVIÇOS DE TELECOMUNICAÇÕES S.A.,2024,1520725.0
BRISANET SERVIÇOS DE TELECOMUNICAÇÕES S.A.,2025,1553417.0
BRK AMBIENTAL PARTICIPAÇÕES S.A.,2021,3430994.0
BRK AMBIENTAL PARTICIPAÇÕES S.A.,2022,3429058.0
BRK AMBIENTAL PARTICIPAÇÕES S.A.,2023,3360112.0
BRK AMBIENTAL PARTICIPAÇÕES S.A.,2024,3343387.0
BRK AMBIENTAL PARTICIPAÇÕES S.A.,2025,3267255.0
BRQ SOLUCOES EM INFORMATICA S.A.,2021,118967.0
BRQ SOLUCOES EM INFORMATICA S.A.,2022,177853.0
BRQ SOLUCOES EM INFORMATICA S.A.,2023,208163.0
BRQ SOLUCOES EM INFORMATICA S.A.,2024,231187.0
BRQ SOLUCOES EM INFORMATICA S.A.,2025,94344.0
BRZ EMPREENDIMENTOS E CONSTRUÇÕES S.A.,2022,231678.0
BRZ EMPREENDIMENTOS E CONSTRUÇÕES S.A.,2023,234447.0
BRZ EMPREENDIMENTOS E CONSTRUÇÕES S.A.,2024,268965.0
BRZ EMPREENDIMENTOS E CONSTRUÇÕES S.A.,2025,152200.0
BTG PACTUAL COMMODITIES SERTRADING S.A.,2024,4380538.0
BTG PACTUAL COMMODITIES SERTRADING S.A.,2025,12193015.0
C&A MODAS S.A.,2021,2995009.0
C&A MODAS S.A.,2022,3000196.0
C&A MODAS S.A.,2023,3012719.0
C&A MODAS S.A.,2024,3308488.0
C&A MODAS S.A.,2025,3707056.0
CAIXA SEGURIDADE PARTICIPAÇÕES S.A.,2021,10558769.0
CAIXA SEGURIDADE PARTICIPAÇÕES S.A.,2022,10889112.0
CAIXA SEGURIDADE PARTICIPAÇÕES S.A.,2023,12585880.0
CAIXA SEGURIDADE PARTICIPAÇÕES S.A.,2024,12889324.0
CAIXA SEGURIDADE PARTICIPAÇÕES S.A.,2025,13550484.0
CAMBUCI S.A.,2021,124982.0
CAMBUCI S.A.,2022,171115.0
CAMBUCI S.A.,2023,232832.0
CAMBUCI S.A.,2024,281303.0
CAMBUCI S.A.,2025,305570.0
CAMIL ALIMENTOS S.A.,2021,2708708.0
CAMIL ALIMENTOS S.A.,2022,2879001.0
CAMIL ALIMENTOS S.A.,2023,2999422.0
CAMIL ALIMENTOS S.A.,2024,3087346.0
CAMIL ALIMENTOS S.A.,2025,3457590.0
CANTU STORE S.A.,2022,330820.0
CANTU STORE S.A.,2023,1001918.0
CANTU STORE S.A.,2024,1096614.0
CANTU STORE S.A.,2025,1392674.0
CARAMURU ALIMENTOS S.A.,2021,1514743.0
CARAMURU ALIMENTOS S.A.,2022,1818039.0
CARAMURU ALIMENTOS S.A.,2023,2008442.0
CARAMURU ALIMENTOS S.A.,2024,2237029.0
CARAMURU ALIMENTOS S.A.,2025,2748916.0
CBO HOLDING S.A.,2021,1696888.0
CBO HOLDING S.A.,2022,1678806.0
CBO HOLDING S.A.,2023,1660463.0
CBO HOLDING S.A.,2024,2070280.0
CBO HOLDING S.A.,2025,2035743.0
CCX CARVÃO DA COLÔMBIA S.A. - EM LIQUIDAÇÃO,2021,-77247.0
CCX CARVÃO DA COLÔMBIA S.A. - EM LIQUIDAÇÃO,2022,-74731.0
CEL PARTICIPAÇÕES S.A. - CELPAR,2021,-14142231.0
